7,JSON,0,0,3870
16,Svelte,364,60,2263
8,JavaScript,3,8,1508
2,CSV,0,0,1031
6,Python,176,68,1012
1,CSS,146,39,889
3,HTML,127,9,863
1,YAML,9,0,43
44,SUM,825,184,11479
